MOIS;THEMATIQUES;TF1;France 2;France 3;Canal +;Arte;M6;Totaux
january-05;Catastrophes;214;191;88;18;40;49;600
january-05;Culture-loisirs;27;42;35;4;0;23;131
january-05;Economie;35;18;10;1;8;11;83
january-05;Education;14;12;4;3;3;8;44
january-05;Environnement;31;25;15;1;3;10;85
january-05;Faits divers;24;19;9;1;1;14;68
january-05;Histoire-hommages;36;38;24;10;23;19;150
january-05;International;52;61;54;15;108;26;316
january-05;Justice;20;27;16;11;11;7;92
january-05;Politique France;27;25;25;6;22;8;113
january-05;Santé;21;19;15;0;2;12;69
january-05;Sciences et techniques;28;11;11;4;2;7;63
january-05;Société;139;129;65;24;31;53;441
january-05;Sport;37;49;19;7;0;32;144
february-05;Catastrophes;42;30;13;4;14;14;117
february-05;Culture-loisirs;41;66;23;12;5;29;176
february-05;Economie;46;43;24;2;7;11;133
february-05;Education;27;31;22;7;7;10;104
february-05;Environnement;46;25;12;0;6;7;96
february-05;Faits divers;17;16;13;8;0;10;64
february-05;Histoire-hommages;14;12;12;1;9;4;52
february-05;International;100;110;81;26;160;32;509
february-05;Justice;56;52;43;15;8;26;200
february-05;Politique France;23;18;13;2;4;6;66
february-05;Santé;50;41;20;9;6;16;142
february-05;Sciences et techniques;17;15;10;0;4;4;50
february-05;Société;177;132;67;29;27;70;502
february-05;Sport;54;58;29;18;3;38;200
march-05;Catastrophes;47;44;27;1;10;20;149
march-05;Culture-loisirs;48;81;38;14;2;39;222
march-05;Economie;92;50;27;2;13;14;198
march-05;Education;33;24;15;3;4;18;97
march-05;Environnement;57;57;14;4;0;13;145
march-05;Faits divers;32;28;18;3;9;12;102
march-05;Histoire-hommages;7;7;1;1;3;0;19
march-05;International;109;140;104;30;189;47;619
march-05;Justice;44;60;30;13;21;14;182
march-05;Politique France;38;22;22;5;5;12;104
march-05;Santé;69;75;44;14;19;40;261
march-05;Sciences et techniques;29;27;8;3;3;6;76
march-05;Société;217;187;89;34;39;78;644
march-05;Sport;55;63;31;15;1;46;211
april-05;Catastrophes;16;17;7;1;2;7;50
april-05;Culture-loisirs;28;46;21;8;1;20;124
april-05;Economie;57;38;20;11;17;12;155
april-05;Education;12;13;7;2;2;7;43
april-05;Environnement;30;11;6;1;1;10;59
april-05;Faits divers;20;19;15;4;4;8;70
april-05;Histoire-hommages;34;34;19;6;13;14;120
april-05;International;74;82;66;16;130;23;391
april-05;Justice;33;26;35;19;5;18;136
april-05;Politique France;31;23;15;5;5;10;89
april-05;Santé;23;24;18;5;3;8;81
april-05;Sciences et techniques;13;12;8;1;5;6;45
april-05;Société;275;276;154;47;92;118;962
april-05;Sport;31;26;16;8;1;29;111
may-05;Catastrophes;12;11;7;1;0;8;39
may-05;Culture-loisirs;47;78;42;10;4;40;221
may-05;Economie;74;65;26;8;15;15;203
may-05;Education;24;9;7;1;4;6;51
